capacity_peer_group,group_size,group_median_price,group_mean_price,group_median_residual,group_mean_residual,group_std_residual
78725 | Private room | 1-2 guests,25,62.99,76.49119999999999,-0.1097959463139552,-0.061413650798286035,0.4270657446771516
78725 | Private room | 3-4 guests,1,105.47,105.47,-0.2050039963619525,-0.2050039963619525,
78726 | Entire home/apt | 1-2 guests,2,79.44999999999999,79.44999999999999,-0.0264074924675355,-0.0264074924675355,0.12865110992859316
78726 | Entire home/apt | 3-4 guests,1,96.68,96.68,-0.2780708017927882,-0.2780708017927882,
78726 | Entire home/apt | 5-6 guests,3,223.0,215.43999999999997,-0.530064672873154,-0.29103820093956106,0.626472621215307
78726 | Entire home/apt | 7+ guests,2,290.695,290.695,-0.22828234382082965,-0.22828234382082965,0.13888455888370355
78726 | Private room | 1-2 guests,6,76.5,327.05333333333334,-0.29556603704598405,0.1353263888459996,1.0833548621143747
78727 | Entire home/apt | 1-2 guests,11,128.95,244.58545454545455,-0.1064606052389463,0.12883563579650603,0.6658242591902993
78727 | Entire home/apt | 3-4 guests,29,134.96,150.0251724137931,0.077745685822852,0.06062002128251797,0.28149602263671514
78727 | Entire home/apt | 5-6 guests,19,222.0,255.0663157894737,-0.0254615666215274,0.015739190633395378,0.3893861282221312
78727 | Entire home/apt | 7+ guests,26,299.0,351.28615384615387,-0.0661217542498087,0.008903449424222293,0.33686820676394186
78727 | Private room | 1-2 guests,18,51.015,66.78666666666668,0.08885801029028134,-0.024114918365557427,0.3789642750697766
78727 | Private room | 3-4 guests,2,56.425,56.425,-0.3435511423847819,-0.3435511423847819,0.11444495169526833
78728 | Entire home/apt | 1-2 guests,6,93.325,91.94833333333334,-0.20287494603782896,-0.1897904011511935,0.1873752261507797
78728 | Entire home/apt | 3-4 guests,9,180.0,178.95999999999998,0.1564509047317583,0.09569565230005485,0.16956577589427516
78728 | Entire home/apt | 5-6 guests,15,234.0,246.308,-0.0055905223018992,-0.0014117394638414253,0.2095219392483261
78728 | Entire home/apt | 7+ guests,29,282.73,320.41793103448276,-0.0341936372615174,0.0006498748285121674,0.3584325067231572
78728 | Private room | 1-2 guests,16,74.265,78.9225,-0.03823044148078835,-0.0640390898859424,0.38466269365315664
78728 | Private room | 3-4 guests,5,83.2,82.44200000000001,-0.1151369177944863,-0.17033877625080027,0.16888791926037483
78729 | Entire home/apt | 3-4 guests,14,118.42,145.94857142857143,-0.048063888038951647,-0.10540557173985131,0.38108939095949074
78729 | Entire home/apt | 5-6 guests,30,222.24,259.584,-0.01227076465638395,0.01649478190840641,0.343072248524414
78729 | Entire home/apt | 7+ guests,50,343.44,400.01779999999997,-0.059485477902106745,-0.016395218930677954,0.3757184202278415
78729 | Private room | 1-2 guests,33,86.0,83.8,0.0223525422165939,0.005802339111754,0.27955035565340003
78729 | Private room | 3-4 guests,2,113.0,113.0,0.1224897668690916,0.1224897668690916,0.06869189952697301
78729 | Private room | 5-6 guests,2,113.5,113.5,-0.34401441462124893,-0.34401441462124893,0.060791083787436
78729 | Private room | 7+ guests,1,154.5,154.5,-0.5314625005003624,-0.5314625005003624,
78730 | Entire home/apt | 1-2 guests,7,95.67,151.62857142857143,-0.0643592520977498,-0.09880894466366431,0.34482928712085376
78730 | Entire home/apt | 3-4 guests,3,212.0,209.67,-0.0247780007266928,0.04188232618085173,0.26916958537822583
78730 | Entire home/apt | 5-6 guests,7,270.43,434.4771428571429,0.2757531906035613,0.05153468132301458,0.5281390912925452
78730 | Entire home/apt | 7+ guests,16,1092.665,1478.21875,0.14606593744872315,0.1483054047686787,0.28358086359945195
78731 | Entire home/apt | 1-2 guests,14,101.565,111.92928571428571,-0.0924327912952427,-0.07590021949989618,0.18791692701842966
78731 | Entire home/apt | 3-4 guests,15,166.0,184.02599999999998,0.0327493239321263,0.08689242081349677,0.34743862145464094
78731 | Entire home/apt | 5-6 guests,20,329.25,303.7245,0.0507561786740193,0.03163260541469963,0.34942151728320886
78731 | Entire home/apt | 7+ guests,27,718.67,886.7862962962963,0.0005434535036874,-0.025990556260410202,0.535861039645648
78731 | Private room | 1-2 guests,7,55.34,72.7,0.0074945407895539,0.046444505259272614,0.2851258669938468
78731 | Private room | 3-4 guests,1,173.0,173.0,0.1092184516817607,0.1092184516817607,
78731 | Private room | 5-6 guests,1,108.43,108.43,-0.7177587259494267,-0.7177587259494267,
78732 | Entire home/apt | 1-2 guests,2,238.0,238.0,0.1812140346942393,0.1812140346942393,0.4337667339734657
78732 | Entire home/apt | 3-4 guests,11,330.0,349.46363636363634,0.0975776790924642,0.16769638782219703,0.6009602808951926
78732 | Entire home/apt | 5-6 guests,11,391.5,389.40909090909093,-0.0219600506908319,0.02718601351024824,0.346200114427275
